epoch,loss,val_loss
0,0.0696539506316185,0.028385525569319725
1,0.03125815838575363,0.02342059649527073
2,0.026532813906669617,0.022285275161266327
3,0.02440684847533703,0.02184547856450081
4,0.023269429802894592,0.021256355568766594
5,0.022569922730326653,0.02099740318953991
6,0.021929601207375526,0.020722128450870514
7,0.02161155641078949,0.02086764946579933
8,0.021291300654411316,0.02027726359665394
9,0.021200815215706825,0.02008364349603653
10,0.020902516320347786,0.019994551315903664
11,0.020709486678242683,0.019813602790236473
12,0.020566897466778755,0.019677141681313515
13,0.020471720024943352,0.019602002575993538
14,0.020343534648418427,0.019525127485394478
15,0.020259398967027664,0.019430596381425858
16,0.020111482590436935,0.019367793574929237
17,0.02004077658057213,0.01934041827917099
18,0.019957033917307854,0.01929563656449318
19,0.019920632243156433,0.019169608131051064
20,0.01977032795548439,0.019096989184617996
21,0.019745297729969025,0.01902448944747448
22,0.01968083716928959,0.01896488107740879
23,0.019584091380238533,0.018937524408102036
24,0.019568590447306633,0.018865568563342094
25,0.019494786858558655,0.018841121345758438
26,0.019444197416305542,0.0188071858137846
27,0.019405720755457878,0.018805406987667084
28,0.019329555332660675,0.018718669191002846
29,0.0192595012485981,0.01863522082567215
30,0.01920732669532299,0.018615035340189934
31,0.019196996465325356,0.01857476495206356
32,0.019128186628222466,0.018544742837548256
33,0.01912611350417137,0.018527435138821602
34,0.019073093309998512,0.018492896109819412
35,0.019026005640625954,0.018443074077367783
36,0.018975725397467613,0.018427949398756027
37,0.018955184146761894,0.018413428217172623
38,0.018918944522738457,0.01835239864885807
39,0.018881477415561676,0.018298214301466942
40,0.01884758099913597,0.01829959638416767
41,0.018845319747924805,0.018249932676553726
42,0.018791520968079567,0.018282450735569
43,0.018799033015966415,0.018202029168605804
44,0.01873071864247322,0.018235482275485992
45,0.018738428130745888,0.018205443397164345
46,0.018691057339310646,0.018153224140405655
47,0.018657803535461426,0.01816062442958355
48,0.018633583560585976,0.01814001239836216
49,0.01862695813179016,0.018115513026714325
50,0.018613073974847794,0.018068252131342888
51,0.018582161515951157,0.01803925819694996
52,0.0185555350035429,0.01808219589293003
53,0.018535958603024483,0.018031295388936996
54,0.01853363774716854,0.01808316819369793
55,0.018488770350813866,0.018005993217229843
56,0.018510863184928894,0.017976416274905205
57,0.01842017099261284,0.017933635041117668
58,0.018424389883875847,0.017975348979234695
59,0.018442178145051003,0.01789984665811062
60,0.018406881019473076,0.017899243161082268
61,0.018372777849435806,0.017872411757707596
62,0.018385611474514008,0.017870133742690086
